Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  1.9169020E-01,     74,      1,    157,  5.5806521E-05,  2.2271281E-10,0,1
  1.9312111E-01,     75,      1,    159,  5.6298557E-05,  2.3987923E-10,0,1
  1.9455202E-01,     76,      1,    161,  5.6798149E-05,  2.1772708E-10,0,1
  1.9598293E-01,     77,      1,    163,  5.7211596E-05,  2.3294913E-10,0,1
  1.9741384E-01,     78,      1,    165,  5.7567933E-05,  2.5983854E-10,0,1
  1.9884474E-01,     79,      1,    167,  5.7903671E-05,  2.3873264E-10,0,1
  2.0027565E-01,     80,      1,    169,  5.8260790E-05,  2.5423930E-10,0,1
  2.0170656E-01,     81,      1,    171,  5.8887241E-05,  2.1747413E-10,0,1
  2.0313747E-01,     82,      1,    173,  5.9527688E-05,  2.6239965E-10,0,1
  2.0456838E-01,     83,      1,    175,  6.0193219E-05,  2.3102859E-10,0,1
  2.0599929E-01,     84,      1,    177,  6.0859199E-05,  2.4318615E-10,0,1
  2.0743020E-01,     85,      1,    179,  6.1515900E-05,  2.4821389E-10,0,1
  2.0886111E-01,     86,      1,    181,  6.2192367E-05,  2.5603820E-10,0,1
  2.1029202E-01,     87,      1,    183,  6.2871181E-05,  2.3970576E-10,0,1
  2.1172292E-01,     88,      1,    185,  6.3550145E-05,  2.1443207E-10,0,1
  2.1315383E-01,     89,      1,    187,  6.4227721E-05,  2.0452262E-10,0,1
  2.1458474E-01,     90,      1,    189,  6.4910819E-05,  2.6305713E-10,0,1
  2.1601565E-01,     91,      1,    191,  6.5673955E-05,  2.1418600E-10,0,1
  2.1744656E-01,     92,      1,    193,  6.6397021E-05,  2.1316282E-10,0,1
  2.1873034E-01,     93,      1,    196,  6.0401774E-05,  2.4224465E-10,0,1
  2.2001412E-01,     94,      1,    198,  6.0712533E-05,  2.1676527E-10,0,1
  2.2129790E-01,     95,      1,    200,  6.1124907E-05,  2.0989739E-10,0,1
  2.2258168E-01,     96,      1,    202,  6.1525557E-05,  2.2295301E-10,0,1
  2.2386547E-01,     97,      1,    204,  6.2041374E-05,  2.3851010E-10,0,1
  2.2514925E-01,     98,      1,    206,  6.2581982E-05,  2.2646773E-10,0,1
  2.2643303E-01,     99,      1,    208,  6.3139871E-05,  2.2725609E-10,0,1
  2.2771681E-01,    100,      1,    210,  6.3714131E-05,  2.2778537E-10,0,1
  2.2900059E-01,    101,      1,    212,  6.4302349E-05,  2.2055247E-10,0,1
  2.3028437E-01,    102,      1,    214,  6.4901036E-05,  2.1032065E-10,0,1
  2.3156815E-01,    103,      1,    216,  6.5506139E-05,  2.3408716E-10,0,1
  2.3285193E-01,    104,      1,    218,  6.6113558E-05,  2.4025104E-10,0,1
  2.3413571E-01,    105,      1,    220,  6.6719622E-05,  2.3737812E-10,0,1
  2.3541949E-01,    106,      1,    222,  6.7321459E-05,  2.7537445E-10,0,1
  2.3670327E-01,    107,      1,    224,  6.7917244E-05,  2.3584336E-10,0,1
  2.3798705E-01,    108,      1,    226,  6.8506297E-05,  2.1282176E-10,0,1
  2.3927083E-01,    109,      1,    228,  6.9089040E-05,  2.2614511E-10,0,1
  2.4055462E-01,    110,      1,    230,  6.9666835E-05,  2.3652280E-10,0,1
  2.4183840E-01,    111,      1,    232,  7.0241731E-05,  2.2835867E-10,0,1
  2.4312218E-01,    112,      1,    234,  7.0816152E-05,  2.4897417E-10,0,1
  2.4440596E-01,    113,      1,    236,  7.1392583E-05,  2.1282012E-10,0,1
  2.4568974E-01,    114,      1,    238,  7.1973273E-05,  2.4183262E-10,0,1
  2.4697352E-01,    115,      1,    240,  7.2560002E-05,  1.9304025E-10,0,1
  2.4825730E-01,    116,      1,    242,  7.3153919E-05,  2.5061067E-10,0,1
  2.4954108E-01,    117,      1,    244,  7.3755475E-05,  2.3473688E-10,0,1
  2.5069534E-01,    118,      1,    247,  6.6989140E-05,  2.7512297E-10,0,1
  2.5184959E-01,    119,      1,    249,  6.7288385E-05,  2.5343176E-10,0,1
  2.5300385E-01,    120,      1,    251,  6.7742430E-05,  2.4763291E-10,0,1
  2.5415811E-01,    121,      1,    253,  6.8209356E-05,  2.1257506E-10,0,1
  2.5531236E-01,    122,      1,    255,  6.8688370E-05,  2.0821711E-10,0,1
  2.5646662E-01,    123,      1,    257,  6.9180214E-05,  2.4217521E-10,0,1
  2.5762088E-01,    124,      1,    259,  6.9684289E-05,  2.1416654E-10,0,1
  2.5877513E-01,    125,      1,    261,  7.0198817E-05,  2.4139440E-10,0,1
  2.5992939E-01,    126,      1,    263,  7.0721162E-05,  2.3231905E-10,0,1
  2.6108365E-01,    127,      1,    265,  7.1248230E-05,  2.3374014E-10,0,1
  2.6223790E-01,    128,      1,    267,  7.1776864E-05,  2.2503374E-10,0,1
  2.6339216E-01,    129,      1,    269,  7.2304217E-05,  2.0612343E-10,0,1
  2.6454642E-01,    130,      1,    271,  7.2828036E-05,  1.9648800E-10,0,1
  2.6570067E-01,    131,      1,    273,  7.3346862E-05,  2.0334655E-10,0,1
  2.6685493E-01,    132,      1,    275,  7.3860110E-05,  2.5281191E-10,0,1
  2.6800918E-01,    133,      1,    277,  7.4368042E-05,  2.2126301E-10,0,1
  2.6916344E-01,    134,      1,    279,  7.4871653E-05,  2.3511389E-10,0,1
  2.7031770E-01,    135,      1,    281,  7.5372478E-05,  2.3719928E-10,0,1
  2.7147195E-01,    136,      1,    283,  7.5872362E-05,  2.1286860E-10,0,1
  2.7262621E-01,    137,      1,    285,  7.6373218E-05,  2.0723906E-10,0,1
  2.7378047E-01,    138,      1,    287,  7.6876798E-05,  2.1695338E-10,0,1
  2.7493472E-01,    139,      1,    289,  7.7384513E-05,  2.2316261E-10,0,1
  2.7608898E-01,    140,      1,    291,  7.7897302E-05,  2.2127297E-10,0,1
  2.7724324E-01,    141,      1,    293,  7.8415573E-05,  2.6776439E-10,0,1
  2.7839749E-01,    142,      1,    295,  7.8939209E-05,  2.3698021E-10,0,1
  2.7955175E-01,    143,      1,    297,  7.9467634E-05,  2.2305302E-10,0,1
  2.8070601E-01,    144,      1,    299,  7.9999924E-05,  2.8285413E-10,0,1
  2.8186026E-01,    145,      1,    301,  8.0534946E-05,  2.2192169E-10,0,1
  2.8301452E-01,    146,      1,    303,  8.1071513E-05,  2.1057968E-10,0,1
  2.8416878E-01,    147,      1,    305,  8.1608520E-05,  2.1088731E-10,0,1
  2.8532303E-01,    148,      1,    307,  8.2145065E-05,  2.4032332E-10,0,1
  2.8647729E-01,    149,      1,    309,  8.2680530E-05,  2.3526014E-10,0,1
  2.8763154E-01,    150,      1,    311,  8.3214622E-05,  2.2772261E-10,0,1
  2.8866949E-01,    151,      1,    314,  7.5471269E-05,  2.4161739E-10,0,1
  2.8970743E-01,    152,      1,    316,  7.5663071E-05,  2.0322588E-10,0,1
  2.9074538E-01,    153,      1,    318,  7.6024447E-05,  2.1505248E-10,0,1
  2.9178332E-01,    154,      1,    320,  7.6399350E-05,  2.0746604E-10,0,1
  2.9282127E-01,    155,      1,    322,  7.6790024E-05,  2.0676519E-10,0,1
  2.9385921E-01,    156,      1,    324,  7.7199755E-05,  2.2703261E-10,0,1
  2.9489715E-01,    157,      1,    326,  7.7629440E-05,  2.1102124E-10,0,1
  2.9593510E-01,    158,      1,    328,  7.8077692E-05,  2.1017698E-10,0,1
  2.9697304E-01,    159,      1,    330,  7.8541242E-05,  2.1776714E-10,0,1
